WHO_region,Disease_presentation,Age_group,Pathogen,deaths associated with resistance (mean),deaths associated with resistance (lower),deaths associated with resistance (upper),deaths attributable to resistance (mean),deaths attributable to resistance (lower),deaths attributable to resistance (upper),vaccine avertable deaths associated with resistance (mean),vaccine avertable deaths associated with resistance (lower),vaccine avertable deaths associated with resistance (upper),vaccine avertable deaths attributable to resistance (mean),vaccine avertable deaths attributable to resistance (lower),vaccine avertable deaths attributable to resistance (upper)
Africa,Bacterial skin infections,EN,Acinetobacter baumannii,14.75419772,0.013915904,97.85248862,4.319638515,0.00428088,29.65578336,0,0,0,0,0,0
Africa,Bacterial skin infections,LN,Acinetobacter baumannii,0.466922739,0.000702362,3.254094454,0.137858083,0.000210308,1.101994706,0,0,0,0,0,0
Africa,Bacterial skin infections,PN,Acinetobacter baumannii,24.82734525,0.903828753,126.0578826,7.323075692,0.258568328,34.89605763,0,0,0,0,0,0
Africa,Bacterial skin infections,1 to 4,Acinetobacter baumannii,20.45911448,0.711287971,102.8483664,6.02707052,0.202457797,30.41895643,0,0,0,0,0,0
Africa,Bacterial skin infections,5 to 9,Acinetobacter baumannii,5.172313864,0.09594173,36.45893402,1.519424006,0.029075924,10.68729879,0,0,0,0,0,0
Africa,Bacterial skin infections,10 to 14,Acinetobacter baumannii,6.561273761,0.14987745,45.86132117,1.927123236,0.042537329,12.93920628,0,0,0,0,0,0
Africa,Bacterial skin infections,15 to 19,Acinetobacter baumannii,16.66915228,0.439036931,106.3841959,4.904551574,0.125777012,31.08141388,0,0,0,0,0,0
Africa,Bacterial skin infections,20 to 24,Acinetobacter baumannii,17.33512438,0.445738816,107.9485483,5.105891156,0.128951136,31.53297697,0,0,0,0,0,0
Africa,Bacterial skin infections,25 to 29,Acinetobacter baumannii,10.65756978,0.273548408,65.71298454,3.156419921,0.083451178,19.06333103,0,0,0,0,0,0
Africa,Bacterial skin infections,30 to 34,Acinetobacter baumannii,13.07243635,0.379788212,78.54357587,3.880666542,0.11047499,23.51226712,0,0,0,0,0,0
Africa,Bacterial skin infections,35 to 39,Acinetobacter baumannii,12.06115215,0.318814435,75.40534663,3.591696366,0.096044892,21.86807257,0,0,0,0,0,0
Africa,Bacterial skin infections,40 to 44,Acinetobacter baumannii,18.46404948,0.488809161,111.9923387,5.478364431,0.151100325,32.40194444,0,0,0,0,0,0
