WHO_region,Disease_presentation,Age_group,Pathogen,burden_mean_value,burden_lower_value,burden_upper_value,Efficacy,Coverage,Duration,DiseasePresentation,Vaccination,Selection
Africa,Bacterial skin infections,EN,Acinetobacter baumannii,14.7541977199827,0.0139159035507946,97.8524886208378,0.7,0.7,5,BSI,60 or above,Yes
Africa,Bacterial skin infections,LN,Acinetobacter baumannii,0.466922739309533,0.000702362138521523,3.25409445449199,0.7,0.7,5,BSI,60 or above,Yes
Africa,Bacterial skin infections,PN,Acinetobacter baumannii,24.8273452464188,0.903828753312555,126.057882637922,0.7,0.7,5,BSI,60 or above,Yes
Africa,Bacterial skin infections,1 to 4,Acinetobacter baumannii,20.4591144837087,0.711287971025606,102.848366390034,0.7,0.7,5,BSI,60 or above,Yes
Africa,Bacterial skin infections,5 to 9,Acinetobacter baumannii,5.17231386388719,0.0959417303247399,36.4589340213281,0.7,0.7,5,BSI,60 or above,Yes
Africa,Bacterial skin infections,10 to 14,Acinetobacter baumannii,6.56127376095015,0.149877450207887,45.8613211677652,0.7,0.7,5,BSI,60 or above,Yes
Africa,Bacterial skin infections,15 to 19,Acinetobacter baumannii,16.6691522841584,0.439036930743236,106.384195904335,0.7,0.7,5,BSI,60 or above,Yes
Africa,Bacterial skin infections,20 to 24,Acinetobacter baumannii,17.335124381573,0.445738815750362,107.948548321315,0.7,0.7,5,BSI,60 or above,Yes
Africa,Bacterial skin infections,25 to 29,Acinetobacter baumannii,10.65756978025,0.273548407881276,65.7129845379564,0.7,0.7,5,BSI,60 or above,Yes
Africa,Bacterial skin infections,30 to 34,Acinetobacter baumannii,13.072436354545,0.379788212028414,78.5435758696302,0.7,0.7,5,BSI,60 or above,Yes
Africa,Bacterial skin infections,35 to 39,Acinetobacter baumannii,12.0611521489156,0.318814434923997,75.405346633527,0.7,0.7,5,BSI,60 or above,Yes
Africa,Bacterial skin infections,40 to 44,Acinetobacter baumannii,18.4640494833803,0.488809161456035,111.992338673823,0.7,0.7,5,BSI,60 or above,Yes
Africa,Bacterial skin infections,45 to 49,Acinetobacter baumannii,27.6518056459766,0.798033760419371,168.376147864849,0.7,0.7,5,BSI,60 or above,Yes
Africa,Bacterial skin infections,50 to 54,Acinetobacter baumannii,47.4237486533383,0.984026255839165,250.745020744966,0.7,0.7,5,BSI,60 or above,Yes
Africa,Bacterial skin infections,55 to 59,Acinetobacter baumannii,71.5286043519122,1.58828339292424,403.775387272257,0.7,0.7,5,BSI,60 or above,Yes
Africa,Bacterial skin infections,60 to 64,Acinetobacter baumannii,98.3151709629581,2.05783258516019,549.900893282068,0.7,0.7,5,BSI,60 or above,Yes
Africa,Bacterial skin infections,65 to 69,Acinetobacter baumannii,124.918024755007,2.86553837198529,697.961636884476,0.7,0.7,5,BSI,60 or above,Yes
Africa,Bacterial skin infections,70 to 74,Acinetobacter baumannii,143.38396706998,4.17215018604001,733.056240009171,0.7,0.7,5,BSI,60 or above,Yes
Africa,Bacterial skin infections,75 to 79,Acinetobacter baumannii,193.861788077115,5.78037505293868,1001.55946867905,0.7,0.7,5,BSI,60 or above,Yes
Africa,Bacterial skin infections,80 to 84,Acinetobacter baumannii,170.192056869333,5.09900477635294,857.359481071343,0.7,0.7,5,BSI,60 or above,Yes
Africa,Bacterial skin infections,85 to 89,Acinetobacter baumannii,114.550827125888,3.49948566851972,575.218101488545,0.7,0.7,5,BSI,60 or above,Yes
Africa,Bacterial skin infections,90 to 94,Acinetobacter baumannii,45.1787083634822,1.35663313468758,234.125757806295,0.7,0.7,5,BSI,60 or above,Yes
Africa,Bacterial skin infections,95 plus,Acinetobacter baumannii,12.0468141178329,0.453055801907241,65.5288057764647,0.7,0.7,5,BSI,60 or above,Yes
Africa,BSI,EN,Acinetobacter baumannii,4431.00652059822,2754.63485723379,6731.14355235873,0.7,0.7,5,BSI,60 or above,Yes
Africa,BSI,LN,Acinetobacter baumannii,1715.09525227037,1161.95147166782,2404.43888812187,0.7,0.7,5,BSI,60 or above,Yes
Africa,BSI,PN,Acinetobacter baumannii,868.401720476618,467.186486097183,1472.42305435421,0.7,0.7,5,BSI,60 or above,Yes
Africa,BSI,1 to 4,Acinetobacter baumannii,604.032779417092,283.085345592866,1092.68334169258,0.7,0.7,5,BSI,60 or above,Yes
Africa,BSI,5 to 9,Acinetobacter baumannii,249.928629794384,135.513727843112,421.86415942946,0.7,0.7,5,BSI,60 or above,Yes
Africa,BSI,10 to 14,Acinetobacter baumannii,187.428116536737,104.821487296464,296.123203843649,0.7,0.7,5,BSI,60 or above,Yes
Africa,BSI,15 to 19,Acinetobacter baumannii,281.915863478316,165.679974641611,442.694214953834,0.7,0.7,5,BSI,60 or above,Yes
Africa,BSI,20 to 24,Acinetobacter baumannii,235.041266859027,139.507514822927,364.955112394486,0.7,0.7,5,BSI,60 or above,Yes
Africa,BSI,25 to 29,Acinetobacter baumannii,219.671587648482,132.012951551026,340.96211638301,0.7,0.7,5,BSI,60 or above,Yes
Africa,BSI,30 to 34,Acinetobacter baumannii,240.127438269619,139.910518194635,390.780963535011,0.7,0.7,5,BSI,60 or above,Yes
Africa,BSI,35 to 39,Acinetobacter baumannii,285.898091756771,160.422188550838,465.361516698106,0.7,0.7,5,BSI,60 or above,Yes
Africa,BSI,40 to 44,Acinetobacter baumannii,344.192675827359,190.268149881889,557.108134953124,0.7,0.7,5,BSI,60 or above,Yes
Africa,BSI,45 to 49,Acinetobacter baumannii,428.061970221679,229.629548980832,698.741465845687,0.7,0.7,5,BSI,60 or above,Yes
Africa,BSI,50 to 54,Acinetobacter baumannii,372.333778639938,201.211014447306,602.105667381372,0.7,0.7,5,BSI,60 or above,Yes
Africa,BSI,55 to 59,Acinetobacter baumannii,462.135353523472,255.060480782976,748.325634314142,0.7,0.7,5,BSI,60 or above,Yes
Africa,BSI,60 to 64,Acinetobacter baumannii,562.661428124911,303.443665050526,938.791071175553,0.7,0.7,5,BSI,60 or above,Yes
