country_name,iso3_code,UN_region,UN_subregion,UNICEF_region,WHO_region,World_Bank_region,MDG_region,SDG_region
Afghanistan,AFG,Asia,Southern Asia,South Asia,EMRO,South Asia,Southern Asia,Central Asia and Southern Asia
Albania,ALB,Europe,Southern Europe,Europe & Central Asia,EURO,Europe & Central Asia,Developed regions,Northern America and Europe
Algeria,DZA,Africa,Northern Africa,Middle East & North Africa,AFRO,Middle East & North Africa,Northern Africa,Western Asia and Northern Africa
American Samoa,ASM,Oceania,Polynesia,Not Classified,Not Classified,East Asia & Pacific,Oceania,Oceania excluding Australia and New Zealand
Andorra,AND,Europe,Southern Europe,Europe & Central Asia,EURO,Europe & Central Asia,Developed regions,Northern America and Europe
Angola,AGO,Africa,Middle Africa,ESARO,AFRO,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa
Anguilla,AIA,Latin America and the Caribbean,Caribbean,Not Classified,Not Classified,Latin America & Caribbean,Latin America & the Caribbean,Latin America and the Caribbean
Antigua and Barbuda,ATG,Latin America and the Caribbean,Caribbean,Latin America & Caribbean,AMRO,Latin America & Caribbean,Latin America & the Caribbean,Latin America and the Caribbean
Argentina,ARG,Latin America and the Caribbean,South America,Latin America & Caribbean,AMRO,Latin America & Caribbean,Latin America & the Caribbean,Latin America and the Caribbean
Armenia,ARM,Asia,Western Asia,Europe & Central Asia,EURO,Europe & Central Asia,Caucasus and Central Asia,Western Asia and Northern Africa
Aruba,ABW,Latin America and the Caribbean,Caribbean,Not Classified,Not Classified,Latin America & Caribbean,Latin America & the Caribbean,Latin America and the Caribbean
Australia,AUS,Oceania,Australia and New Zealand,East Asia & Pacific,WPRO,East Asia & Pacific,Developed regions,Australia and New Zealand
Austria,AUT,Europe,Western Europe,Europe & Central Asia,EURO,Europe & Central Asia,Developed regions,Northern America and Europe
Azerbaijan,AZE,Asia,Western Asia,Europe & Central Asia,EURO,Europe & Central Asia,Caucasus and Central Asia,Western Asia and Northern Africa
Bahamas,BHS,Latin America and the Caribbean,Caribbean,Latin America & Caribbean,AMRO,Latin America & Caribbean,Latin America & the Caribbean,Latin America and the Caribbean
Bahrain,BHR,Asia,Western Asia,Middle East & North Africa,EMRO,Middle East & North Africa,Western Asia,Western Asia and Northern Africa
Bangladesh,BGD,Asia,Southern Asia,South Asia,SEARO,South Asia,Southern Asia,Central Asia and Southern Asia
Barbados,BRB,Latin America and the Caribbean,Caribbean,Latin America & Caribbean,AMRO,Latin America & Caribbean,Latin America & the Caribbean,Latin America and the Caribbean
Belarus,BLR,Europe,Eastern Europe,Europe & Central Asia,EURO,Europe & Central Asia,Developed regions,Northern America and Europe
Belgium,BEL,Europe,Western Europe,Europe & Central Asia,EURO,Europe & Central Asia,Developed regions,Northern America and Europe
Belize,BLZ,Latin America and the Caribbean,Central America,Latin America & Caribbean,AMRO,Latin America & Caribbean,Latin America & the Caribbean,Latin America and the Caribbean
Benin,BEN,Africa,Western Africa,WCARO,AFRO,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa
Bermuda,BMU,Northern America,Northern America,Not Classified,Not Classified,North America,Developed regions,Northern America and Europe
Bhutan,BTN,Asia,Southern Asia,South Asia,SEARO,South Asia,Southern Asia,Central Asia and Southern Asia
Bolivia (Plurinational State of),BOL,Latin America and the Caribbean,South America,Latin America & Caribbean,AMRO,Latin America & Caribbean,Latin America & the Caribbean,Latin America and the Caribbean
Bosnia and Herzegovina,BIH,Europe,Southern Europe,Europe & Central Asia,EURO,Europe & Central Asia,Developed regions,Northern America and Europe
Botswana,BWA,Africa,Southern Africa,ESARO,AFRO,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa
Brazil,BRA,Latin America and the Caribbean,South America,Latin America & Caribbean,AMRO,Latin America & Caribbean,Latin America & the Caribbean,Latin America and the Caribbean
British Virgin Islands,VGB,Latin America and the Caribbean,Caribbean,Not Classified,Not Classified,Latin America & Caribbean,Latin America & the Caribbean,Latin America and the Caribbean
Brunei Darussalam,BRN,Asia,South-eastern Asia,East Asia & Pacific,WPRO,East Asia & Pacific,South-eastern Asia,Eastern Asia and South-eastern Asia
Bulgaria,BGR,Europe,Eastern Europe,Europe & Central Asia,EURO,Europe & Central Asia,Developed regions,Northern America and Europe
Burkina Faso,BFA,Africa,Western Africa,WCARO,AFRO,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa
Burundi,BDI,Africa,Eastern Africa,ESARO,AFRO,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa
Cabo Verde,CPV,Africa,Western Africa,WCARO,AFRO,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa
Cambodia,KHM,Asia,South-eastern Asia,East Asia & Pacific,WPRO,East Asia & Pacific,South-eastern Asia,Eastern Asia and South-eastern Asia
Cameroon,CMR,Africa,Middle Africa,WCARO,AFRO,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa
Canada,CAN,Northern America,Northern America,North America,AMRO,North America,Developed regions,Northern America and Europe
Cayman Islands,CYM,Latin America and the Caribbean,Caribbean,Not Classified,Not Classified,Latin America & Caribbean,Latin America & the Caribbean,Latin America and the Caribbean
Central African Republic (The),CAF,Africa,Middle Africa,WCARO,AFRO,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa
Chad,TCD,Africa,Middle Africa,WCARO,AFRO,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa
Chile,CHL,Latin America and the Caribbean,South America,Latin America & Caribbean,AMRO,Latin America & Caribbean,Latin America & the Caribbean,Latin America and the Caribbean
China,CHN,Asia,Eastern Asia,East Asia & Pacific,WPRO,East Asia & Pacific,Eastern Asia,Eastern Asia and South-eastern Asia
Colombia,COL,Latin America and the Caribbean,South America,Latin America & Caribbean,AMRO,Latin America & Caribbean,Latin America & the Caribbean,Latin America and the Caribbean
Comoros (The),COM,Africa,Eastern Africa,ESARO,AFRO,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa
Congo (The),COG,Africa,Middle Africa,WCARO,AFRO,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa
Cook Islands,COK,Oceania,Polynesia,East Asia & Pacific,WPRO,Not Classified,Oceania,Oceania excluding Australia and New Zealand
Costa Rica,CRI,Latin America and the Caribbean,Central America,Latin America & Caribbean,AMRO,Latin America & Caribbean,Latin America & the Caribbean,Latin America and the Caribbean
Cote d'Ivoire,CIV,Africa,Western Africa,WCARO,AFRO,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa
Croatia,HRV,Europe,Southern Europe,Europe & Central Asia,EURO,Europe & Central Asia,Developed regions,Northern America and Europe
Cuba,CUB,Latin America and the Caribbean,Caribbean,Latin America & Caribbean,AMRO,Latin America & Caribbean,Latin America & the Caribbean,Latin America and the Caribbean
Cyprus,CYP,Asia,Western Asia,Europe & Central Asia,EURO,Europe & Central Asia,Developed regions,Western Asia and Northern Africa
Czechia,CZE,Europe,Eastern Europe,Europe & Central Asia,EURO,Europe & Central Asia,Developed regions,Northern America and Europe
Democratic People's Rep. of Korea (The),PRK,Asia,Eastern Asia,East Asia & Pacific,SEARO,East Asia & Pacific,Eastern Asia,Eastern Asia and South-eastern Asia
Democratic Rep. of the Congo (The),COD,Africa,Middle Africa,WCARO,AFRO,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa
Denmark,DNK,Europe,Northern Europe,Europe & Central Asia,EURO,Europe & Central Asia,Developed regions,Northern America and Europe
Djibouti,DJI,Africa,Eastern Africa,ESARO,EMRO,Middle East & North Africa,Sub-Saharan Africa,Sub-Saharan Africa
Dominica,DMA,Latin America and the Caribbean,Caribbean,Latin America & Caribbean,AMRO,Latin America & Caribbean,Latin America & the Caribbean,Latin America and the Caribbean
Dominican Republic (The),DOM,Latin America and the Caribbean,Caribbean,Latin America & Caribbean,AMRO,Latin America & Caribbean,Latin America & the Caribbean,Latin America and the Caribbean
Ecuador,ECU,Latin America and the Caribbean,South America,Latin America & Caribbean,AMRO,Latin America & Caribbean,Latin America & the Caribbean,Latin America and the Caribbean
Egypt,EGY,Africa,Northern Africa,Middle East & North Africa,EMRO,Middle East & North Africa,Northern Africa,Western Asia and Northern Africa
El Salvador,SLV,Latin America and the Caribbean,Central America,Latin America & Caribbean,AMRO,Latin America & Caribbean,Latin America & the Caribbean,Latin America and the Caribbean
Equatorial Guinea,GNQ,Africa,Middle Africa,WCARO,AFRO,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa
Eritrea,ERI,Africa,Eastern Africa,ESARO,AFRO,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa
Estonia,EST,Europe,Northern Europe,Europe & Central Asia,EURO,Europe & Central Asia,Developed regions,Northern America and Europe
Ethiopia,ETH,Africa,Eastern Africa,ESARO,AFRO,Sub-Saharan Africa,Sub-Saharan Africa,Sub-Saharan Africa
