WHO_region,Disease_presentation,Age_group,Pathogen,Associated_resistant_mean,Associated_resistant_lower,Associated_resistant_upper,Attributable_resistance_mean,Attributable_resistance_lower,Attributable_resistance_upper,hib_vaccine_coverage_2019,hib_vaccine_coverage_2018,pcv_vaccine_coverage_2019,pcv_vaccine_coverage_2018
Africa,BSI,EN,Acinetobacter baumannii,394000,245000,598000,116000,69000,186000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,EN,Enterococcus faecium,201000,131000,303000,50000,26000,85000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,EN,Escherichia coli,460000,305000,680000,116000,73000,178000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,EN,Group A Streptococcus,67000,42000,106000,6000,0,20000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,EN,Klebsiella pneumoniae,1700000,1121000,2531000,464000,274000,736000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,EN,Non-typhoidal Salmonella,16000,8000,28000,3000,0,8000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,EN,Pseudomonas aeruginosa,492000,320000,749000,122000,71000,198000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,EN,Salmonella Typhi,1073000,626000,1694000,175000,32000,368000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,EN,Staphylococcus aureus,488000,323000,730000,107000,62000,170000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,EN,Streptococcus pneumoniae,392000,260000,594000,78000,45000,125000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,LN,Acinetobacter baumannii,152000,103000,214000,45000,29000,67000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,LN,Enterococcus faecium,77000,54000,106000,19000,10000,31000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,LN,Escherichia coli,176000,130000,232000,44000,31000,64000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,LN,Group A Streptococcus,25000,17000,36000,2000,0,7000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,LN,Klebsiella pneumoniae,650000,482000,859000,179000,114000,264000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,LN,Non-typhoidal Salmonella,7000,3000,13000,1000,0,3000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,LN,Pseudomonas aeruginosa,188000,133000,255000,47000,30000,72000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,LN,Salmonella Typhi,394000,248000,589000,64000,10000,128000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,LN,Staphylococcus aureus,188000,138000,249000,41000,25000,61000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,LN,Streptococcus pneumoniae,150000,110000,204000,30000,18000,45000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,PN,Acinetobacter baumannii,77000,41000,130000,23000,12000,40000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,PN,Enterococcus faecium,33000,19000,54000,8000,4000,15000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,PN,Escherichia coli,88000,52000,139000,22000,12000,36000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,PN,Group A Streptococcus,35000,20000,56000,3000,0,11000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,PN,Klebsiella pneumoniae,433000,250000,672000,117000,61000,2e+05,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,PN,Non-typhoidal Salmonella,5000,2000,9000,1000,0,2000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,PN,Pseudomonas aeruginosa,72000,41000,114000,18000,9000,30000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,PN,Salmonella Typhi,266000,142000,441000,43000,7000,94000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,PN,Staphylococcus aureus,68000,39000,107000,15000,8000,25000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,PN,Streptococcus pneumoniae,401950.590980513,230839.094418528,645703.760611266,80712.9700764082,41970.7444397323,137212.049129894,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,1 to 4,Acinetobacter baumannii,52000,24000,94000,15000,7000,28000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,1 to 4,Enterococcus faecium,21000,10000,37000,5000,2000,10000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,1 to 4,Escherichia coli,56000,28000,97000,14000,7000,25000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,1 to 4,Group A Streptococcus,21000,10000,36000,2000,0,7000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
