WHO_region,Disease_presentation,Age_group,Pathogen,Susceptible_mean,Susceptible_lower,Susceptible_upper,associated with resistance (mean),associated with resistance (lower),associated with resistance (upper),attributable to resistance (mean),attributable to resistance (lower),attributable to resistance (upper),vaccine avertable-associated with resistance (mean),vaccine avertable-associated with resistance (lower),vaccine avertable-associated with resistance (upper),vaccine avertable-attributable to resistance (mean),vaccine avertable-attributable to resistance (lower),vaccine avertable-attributable to resistance (upper)
Africa,Bacterial skin infections,EN,Acinetobacter baumannii,0,0,1000,1000,0,9000,0,0,3000,0,0,0,0,0,0
Africa,Bacterial skin infections,LN,Acinetobacter baumannii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Africa,Bacterial skin infections,PN,Acinetobacter baumannii,0,0,1000,2000,0,11000,1000,0,3000,918.75,0,5053.125,459.375,0,1378.125
Africa,Bacterial skin infections,1 to 4,Acinetobacter baumannii,0,0,1000,2000,0,10000,1000,0,3000,980,0,4900,490,0,1470
Africa,Bacterial skin infections,5 to 9,Acinetobacter baumannii,0,0,0,0,0,4000,0,0,1000,0,0,52.7692307692308,0,0,13.1923076923077
Africa,Bacterial skin infections,10 to 14,Acinetobacter baumannii,0,0,0,1000,0,4000,0,0,1000,0,0,0,0,0,0
Africa,Bacterial skin infections,15 to 19,Acinetobacter baumannii,0,0,1000,1000,0,8000,0,0,2000,0,0,0,0,0,0
Africa,Bacterial skin infections,20 to 24,Acinetobacter baumannii,0,0,1000,1000,0,7000,0,0,2000,0,0,0,0,0,0
Africa,Bacterial skin infections,25 to 29,Acinetobacter baumannii,0,0,0,1000,0,4000,0,0,1000,0,0,0,0,0,0
Africa,Bacterial skin infections,30 to 34,Acinetobacter baumannii,0,0,0,1000,0,5000,0,0,1000,0,0,0,0,0,0
Africa,Bacterial skin infections,35 to 39,Acinetobacter baumannii,0,0,0,1000,0,4000,0,0,1000,0,0,0,0,0,0
Africa,Bacterial skin infections,40 to 44,Acinetobacter baumannii,0,0,0,1000,0,5000,0,0,2000,0,0,0,0,0,0
Africa,Bacterial skin infections,45 to 49,Acinetobacter baumannii,0,0,1000,1000,0,7000,0,0,2000,0,0,0,0,0,0
Africa,Bacterial skin infections,50 to 54,Acinetobacter baumannii,0,0,1000,2000,0,9000,1000,0,3000,0,0,0,0,0,0
Africa,Bacterial skin infections,55 to 59,Acinetobacter baumannii,0,0,1000,2000,0,13000,1000,0,4000,0,0,0,0,0,0
Africa,Bacterial skin infections,60 to 64,Acinetobacter baumannii,0,0,1000,3000,0,15000,1000,0,4000,0,0,0,0,0,0
Africa,Bacterial skin infections,65 to 69,Acinetobacter baumannii,0,0,1000,3000,0,16000,1000,0,5000,0,0,0,0,0,0
Africa,Bacterial skin infections,70 to 74,Acinetobacter baumannii,0,0,1000,3000,0,14000,1000,0,4000,1470,0,6860,490,0,1960
Africa,Bacterial skin infections,75 to 79,Acinetobacter baumannii,0,0,1000,3000,0,15000,1000,0,5000,0,0,0,0,0,0
