WHO_region,Disease_presentation,Age_group,Pathogen,associated with susceptible (mean),associated with susceptible (lower),associated with susceptible (upper),associated with resistance (mean),associated with resistance (lower),associated with resistance (upper),attributable to resistance (mean),attributable to resistance (lower),attributable to resistance (upper),vaccine avertable-susceptible (mean),vaccine avertable-susceptible (lower),vaccine avertable-susceptible (upper),vaccine avertable-associated with resistance (mean),vaccine avertable-associated with resistance (lower),vaccine avertable-associated with resistance (upper),vaccine avertable-attributable to resistance (mean),vaccine avertable-attributable to resistance (lower),vaccine avertable-attributable to resistance (upper)
Africa,BSI,EN,Acinetobacter baumannii,388.796551647048,228.637113352972,621.718901932225,4431.00652059822,2754.63485723379,6731.14355235873,1309.39925655402,774.852449659095,2089.57662456172,190.510310307054,112.032185542956,304.64226194679,2171.19319509313,1349.77108004456,3298.26034065578,641.60563571147,379.677700332956,1023.89254603524
Africa,BSI,LN,Acinetobacter baumannii,144.083930271488,92.6812243847371,215.522992684972,1715.09525227037,1161.95147166782,2404.43888812187,508.360573986669,322.91425219048,758.589878350127,70.6011258330291,45.4137999485212,105.606266415636,840.396673612481,569.356221117232,1178.17505517972,249.096681253468,158.227983573335,371.709040391562
Africa,BSI,PN,Acinetobacter baumannii,77.7920005411504,39.5271804812742,133.012103363176,868.401720476618,467.186486097183,1472.42305435421,256.768193367696,134.045308767622,450.708342922935,38.1180802651637,19.3683184358244,65.1759306479562,425.516843033543,228.92137818762,721.487296633563,125.816414750171,65.6822012961348,220.847088032238
Africa,BSI,1 to 4,Acinetobacter baumannii,56.6954520317658,26.3601690351232,105.960738007074,604.032779417092,283.085345592866,1092.68334169258,177.408008461761,77.7812046228158,327.718317670545,27.7807714955652,12.9164828272104,51.9207616234663,295.976061914375,138.711819340504,535.414837429364,86.9299241462629,38.1127902651797,160.581975658567
Africa,BSI,5 to 9,Acinetobacter baumannii,21.4105483582833,10.7669464334913,37.0231848084799,249.928629794384,135.513727843112,421.86415942946,73.8179625435204,37.7055568452071,123.641616470074,10.4911686955588,5.27580375241074,18.1413605561551,122.465028599248,66.4017266431249,206.713438120435,36.170801646325,18.4757228541515,60.5843920703363
Africa,BSI,10 to 14,Acinetobacter baumannii,15.8145461107301,8.26812924661033,25.8540001988206,187.428116536737,104.821487296464,296.123203843649,55.4029707175352,29.1571405346687,90.042750143744,7.74912759425775,4.05138333083906,12.6684600974221,91.8397771030011,51.3625287752674,145.100369883388,27.1474556515922,14.2869988619877,44.1209475704346
Africa,BSI,15 to 19,Acinetobacter baumannii,22.7276244483713,12.3436961502682,36.2910095851697,281.915863478316,165.679974641611,442.694214953834,83.524310070985,46.1423068285825,130.149574176678,11.1365359797019,6.04841111363142,17.7825946967332,138.138773104375,81.1831875743894,216.920165327379,40.9269119347827,22.6097303460054,63.7732913465722
Africa,BSI,20 to 24,Acinetobacter baumannii,18.0320354553302,10.0440799864363,29.0972561822784,235.041266859027,139.507514822927,364.955112394486,69.8765140561144,39.1778753960957,111.454108661507,8.8356973731118,4.92159919335379,14.2576555293164,115.170220760923,68.3586822632342,178.828005073298,34.2394918874961,19.1971589440869,54.6125132441384
Africa,BSI,25 to 29,Acinetobacter baumannii,16.0155846617518,9.18226073530862,25.8823696554673,219.671587648482,132.012951551026,340.96211638301,65.6302504964332,37.1425315706329,107.268876385222,7.84763648425838,4.49930776030122,12.682361131179,107.639077947756,64.6863462600027,167.071437027675,32.1588227432523,18.1998404696101,52.5617494287588
Africa,BSI,30 to 34,Acinetobacter baumannii,16.5091172673923,9.2966941253626,26.8960738441756,240.127438269619,139.910518194635,390.780963535011,72.0861802412164,40.8308615773543,117.035531671878,8.08946746102223,4.55538012142767,13.179076183646,117.662444752113,68.5561539153711,191.482672132155,35.322228318196,20.0071221729036,57.3474105192202
Africa,BSI,35 to 39,Acinetobacter baumannii,19.509628244176,10.3185041878231,33.1566597561611,285.898091756771,160.422188550838,465.361516698106,85.9267092299156,45.2585902517156,144.039076851057,9.55971783964624,5.05606705203332,16.2467632805189,140.090064960818,78.6068723899106,228.027143182072,42.1040875226586,22.1767092233406,70.5791476570179
Africa,BSI,40 to 44,Acinetobacter baumannii,23.8144475355739,12.4055048590109,38.6148372199245,344.192675827359,190.268149881889,557.108134953124,103.464013229282,53.9321942764634,173.658137400784,11.6690792924312,6.07869738091534,18.921270237763,168.654411155406,93.2313934421256,272.982986127031,50.6973664823482,26.4267751954671,85.0924873263842
