WHO_region,Disease_presentation,Pathogen,vaccine_averted_burden
Africa,BSI,Acinetobacter baumannii,"70,433 (48,512 - 106,497)"
Africa,BSI,Enterococcus faecium,"32,030 (21,338 - 46,673)"
Africa,BSI,Escherichia coli,"84,582 (57,715 - 122,820)"
Africa,BSI,Group A Streptococcus,"25,964 (16,744 - 41,319)"
Africa,BSI,Klebsiella pneumoniae,"1,553,281 (1,177,721 - 2,100,133)"
Africa,BSI,Non-typhoidal Salmonella,"3,791 (2,209 - 6,419)"
Africa,BSI,Pseudomonas aeruginosa,"63,630 (43,188 - 95,457)"
Africa,BSI,Salmonella Typhi,"205,910 (147,642 - 310,002)"
Africa,BSI,Staphylococcus aureus,"51,041 (34,291 - 73,823)"
Africa,BSI,Streptococcus pneumoniae,"335,293 (221,207 - 523,607)"
Africa,Bacterial skin infections,Acinetobacter baumannii,"4,003 (1,575 - 10,716)"
Africa,Bacterial skin infections,Escherichia coli,"6,249 (3,258 - 13,367)"
Africa,Bacterial skin infections,Group A Streptococcus,"3,855 (2,210 - 6,466)"
Africa,Bacterial skin infections,Klebsiella pneumoniae,"2,900 (1,194 - 7,524)"
Africa,Bacterial skin infections,Staphylococcus aureus,"35,965 (23,524 - 56,675)"
Africa,Bone and joint infections,Enterococcus faecium,  0 (  0 -   2)
Africa,Bone and joint infections,Escherichia coli,"2,053 (1,132 - 4,104)"
Africa,Bone and joint infections,Group A Streptococcus,  0 (  0 -   4)
Africa,Bone and joint infections,Klebsiella pneumoniae,  1 (  0 -   4)
Africa,Bone and joint infections,Staphylococcus aureus,"1,805 (874 - 4,090)"
Africa,CNS infections,Escherichia coli,"296,822 (197,217 - 435,730)"
Africa,CNS infections,Haemophilus influenzae,"203,033 (143,690 - 270,252)"
Africa,CNS infections,Klebsiella pneumoniae,"402,920 (266,944 - 598,392)"
Africa,CNS infections,Staphylococcus aureus,"117,154 (80,523 - 164,955)"
Africa,CNS infections,Streptococcus pneumoniae,"617,589 (435,787 - 865,320)"
Africa,Cardiac infections,Acinetobacter baumannii,"931 (761 - 1,121)"
Africa,Cardiac infections,Enterococcus faecium,  1 (  0 -   4)
Africa,Cardiac infections,Escherichia coli,"1,390 (1,175 - 1,621)"
Africa,Cardiac infections,Group A Streptococcus,  0 (  0 -   2)
Africa,Cardiac infections,Klebsiella pneumoniae,"5,205 (3,670 - 7,739)"
Africa,Cardiac infections,Salmonella Typhi,"3,342 (2,535 - 4,849)"
Africa,Cardiac infections,Staphylococcus aureus,785 (637 - 970)
Africa,Cardiac infections,Streptococcus pneumoniae,"4,092 (2,562 - 6,329)"
Africa,Diarrhoea,Escherichia coli,"154,876 (96,552 - 261,642)"
Africa,Diarrhoea,Non-typhoidal Salmonella,"10,081 (4,087 - 25,629)"
Africa,Diarrhoea,Shigella spp.,"232,395 (129,681 - 400,878)"
Africa,Gonorrhoea and chlamydia,Neisseria gonorrhoeae,"1,982 (1,220 - 3,162)"
Africa,Intra-abdominal infections,Enterococcus faecium,"41,107 (27,544 - 63,302)"
Africa,Intra-abdominal infections,Escherichia coli,"92,308 (66,219 - 132,500)"
Africa,Intra-abdominal infections,Klebsiella pneumoniae,"53,523 (36,312 - 75,841)"
Africa,Intra-abdominal infections,Staphylococcus aureus,"60,897 (40,185 - 95,639)"
Africa,LRI and thorax infections,Acinetobacter baumannii,"170,357 (116,406 - 240,615)"
Africa,LRI and thorax infections,Escherichia coli,"545,112 (396,209 - 732,139)"
Africa,LRI and thorax infections,Haemophilus influenzae,"497,302 (357,373 - 701,377)"
Africa,LRI and thorax infections,Klebsiella pneumoniae,"1,175,486 (869,172 - 1,513,576)"
Africa,LRI and thorax infections,Pseudomonas aeruginosa,"360,544 (276,487 - 479,786)"
Africa,LRI and thorax infections,Staphylococcus aureus,"931,985 (709,519 - 1,199,607)"
Africa,LRI and thorax infections,Streptococcus pneumoniae,"2,120,828 (1,513,770 - 2,854,791)"
Africa,TB,Mycobacterium tuberculosis,"1,059,516 (933,869 - 1,211,777)"
Africa,"Typhoid, paratyphoid, and iNTS",Non-typhoidal Salmonella,"15,763 (8,372 - 28,133)"
Africa,"Typhoid, paratyphoid, and iNTS",Salmonella Paratyphi,"1,114 (589 - 2,161)"
Africa,"Typhoid, paratyphoid, and iNTS",Salmonella Typhi,"470,065 (293,531 - 780,608)"
Africa,UTI,Acinetobacter baumannii,"1,466 (973 - 2,060)"
Africa,UTI,Enterococcus faecium,"1,849 (1,442 - 2,451)"
Africa,UTI,Escherichia coli,"14,493 (10,936 - 19,429)"
Africa,UTI,Klebsiella pneumoniae,"3,394 (2,686 - 4,361)"
Africa,UTI,Staphylococcus aureus,"2,403 (1,729 - 3,538)"
