WHO_region,Disease_presentation,Pathogen,vaccine_averted_burden
Africa,BSI,Acinetobacter baumannii,"1,169 (771 - 1,685)"
Africa,BSI,Enterococcus faecium,540 (389 - 802)
Africa,BSI,Escherichia coli,"1,791 (1,233 - 2,785)"
Africa,BSI,Group A Streptococcus,306 (196 - 480)
Africa,BSI,Klebsiella pneumoniae,"18,510 (14,083 - 24,903)"
Africa,BSI,Non-typhoidal Salmonella, 43 ( 26 -  77)
Africa,BSI,Pseudomonas aeruginosa,"1,061 (706 - 1,477)"
Africa,BSI,Salmonella Typhi,"2,423 (1,608 - 3,637)"
Africa,BSI,Staphylococcus aureus,"871 (605 - 1,264)"
Africa,BSI,Streptococcus pneumoniae,"3,895 (2,454 - 5,886)"
Africa,Bacterial skin infections,Acinetobacter baumannii,103 ( 33 - 404)
Africa,Bacterial skin infections,Escherichia coli,171 ( 76 - 410)
Africa,Bacterial skin infections,Group A Streptococcus, 38 ( 23 -  60)
Africa,Bacterial skin infections,Klebsiella pneumoniae, 63 ( 23 - 222)
Africa,Bacterial skin infections,Staphylococcus aureus,586 (366 - 908)
Africa,Bone and joint infections,Enterococcus faecium,  4 (  2 -   9)
Africa,Bone and joint infections,Escherichia coli, 40 ( 22 -  79)
Africa,Bone and joint infections,Group A Streptococcus,  2 (  1 -   7)
Africa,Bone and joint infections,Klebsiella pneumoniae, 14 (  7 -  30)
Africa,Bone and joint infections,Staphylococcus aureus, 52 ( 27 - 104)
Africa,CNS infections,Escherichia coli,"3,552 (2,331 - 5,368)"
Africa,CNS infections,Haemophilus influenzae,"2,275 (1,686 - 3,184)"
Africa,CNS infections,Klebsiella pneumoniae,"4,662 (3,249 - 6,794)"
Africa,CNS infections,Staphylococcus aureus,"1,390 (943 - 1,989)"
Africa,CNS infections,Streptococcus pneumoniae,"7,140 (5,121 - 10,234)"
Africa,Cardiac infections,Acinetobacter baumannii, 22 ( 16 -  31)
Africa,Cardiac infections,Enterococcus faecium, 11 (  8 -  15)
Africa,Cardiac infections,Escherichia coli, 39 ( 27 -  53)
Africa,Cardiac infections,Group A Streptococcus,  3 (  2 -   5)
Africa,Cardiac infections,Klebsiella pneumoniae, 89 ( 64 - 121)
Africa,Cardiac infections,Salmonella Typhi, 45 ( 33 -  64)
Africa,Cardiac infections,Staphylococcus aureus, 17 ( 12 -  23)
Africa,Cardiac infections,Streptococcus pneumoniae, 53 ( 32 -  80)
Africa,Diarrhoea,Escherichia coli,"1,688 (1,007 - 2,975)"
Africa,Diarrhoea,Non-typhoidal Salmonella,105 ( 44 - 261)
Africa,Diarrhoea,Shigella spp.,"2,598 (1,517 - 4,511)"
Africa,Intra-abdominal infections,Enterococcus faecium,"988 (656 - 1,668)"
Africa,Intra-abdominal infections,Escherichia coli,"2,390 (1,761 - 3,250)"
Africa,Intra-abdominal infections,Klebsiella pneumoniae,"1,471 (941 - 2,208)"
Africa,Intra-abdominal infections,Staphylococcus aureus,"1,154 (793 - 1,617)"
Africa,LRI and thorax infections,Acinetobacter baumannii,"3,215 (2,175 - 4,758)"
Africa,LRI and thorax infections,Escherichia coli,"7,077 (5,459 - 9,265)"
Africa,LRI and thorax infections,Haemophilus influenzae,"5,698 (4,133 - 7,661)"
Africa,LRI and thorax infections,Klebsiella pneumoniae,"14,602 (11,306 - 18,634)"
Africa,LRI and thorax infections,Pseudomonas aeruginosa,"4,773 (3,658 - 6,034)"
Africa,LRI and thorax infections,Staphylococcus aureus,"12,714 (9,706 - 16,138)"
Africa,LRI and thorax infections,Streptococcus pneumoniae,"24,290 (17,178 - 32,679)"
Africa,TB,Mycobacterium tuberculosis,"23,921 (21,304 - 27,426)"
Africa,"Typhoid, paratyphoid, and iNTS",Non-typhoidal Salmonella,177 (106 - 353)
Africa,"Typhoid, paratyphoid, and iNTS",Salmonella Paratyphi, 15 (  5 -  42)
Africa,"Typhoid, paratyphoid, and iNTS",Salmonella Typhi,"5,971 (3,464 - 9,464)"
Africa,UTI,Acinetobacter baumannii, 27 ( 15 -  50)
Africa,UTI,Enterococcus faecium, 43 ( 26 -  71)
Africa,UTI,Escherichia coli,340 (244 - 474)
Africa,UTI,Klebsiella pneumoniae, 94 ( 65 - 136)
Africa,UTI,Staphylococcus aureus, 51 ( 37 -  74)
Americas,BSI,Acinetobacter baumannii,"1,600 (957 - 2,921)"
Americas,BSI,Enterococcus faecium,"834 (518 - 1,309)"
Americas,BSI,Escherichia coli,"1,944 (1,141 - 3,640)"
Americas,BSI,Group A Streptococcus, 57 ( 38 -  88)
Americas,BSI,Klebsiella pneumoniae,"2,821 (2,121 - 3,940)"
Americas,BSI,Non-typhoidal Salmonella,  7 (  4 -  15)
Americas,BSI,Pseudomonas aeruginosa,"840 (513 - 1,401)"
Americas,BSI,Salmonella Typhi, 44 ( 31 -  65)
Americas,BSI,Staphylococcus aureus,"1,905 (1,103 - 3,192)"
Americas,BSI,Streptococcus pneumoniae,"654 (423 - 1,050)"
Americas,Bacterial skin infections,Acinetobacter baumannii,100 ( 20 - 487)
Americas,Bacterial skin infections,Escherichia coli,147 ( 65 - 347)
Americas,Bacterial skin infections,Group A Streptococcus,  5 (  2 -   8)
Americas,Bacterial skin infections,Klebsiella pneumoniae, 38 ( 10 - 132)
Americas,Bacterial skin infections,Staphylococcus aureus,162 ( 86 - 306)
Americas,Bone and joint infections,Enterococcus faecium,  2 (  1 -   6)
Americas,Bone and joint infections,Escherichia coli, 24 ( 11 -  56)
Americas,Bone and joint infections,Klebsiella pneumoniae,  5 (  2 -  13)
Americas,Bone and joint infections,Staphylococcus aureus, 41 ( 16 - 110)
Americas,CNS infections,Escherichia coli,115 ( 82 - 165)
Americas,CNS infections,Haemophilus influenzae, 85 ( 61 - 122)
Americas,CNS infections,Klebsiella pneumoniae,125 ( 92 - 175)
Americas,CNS infections,Staphylococcus aureus, 41 ( 30 -  55)
Americas,CNS infections,Streptococcus pneumoniae,211 (144 - 304)
Americas,Cardiac infections,Acinetobacter baumannii, 93 ( 60 - 141)
Americas,Cardiac infections,Enterococcus faecium, 48 ( 32 -  66)
Americas,Cardiac infections,Escherichia coli,137 ( 94 - 201)
Americas,Cardiac infections,Group A Streptococcus,  1 (  0 -   2)
Americas,Cardiac infections,Klebsiella pneumoniae, 78 ( 57 - 117)
Americas,Cardiac infections,Salmonella Typhi,  1 (  1 -   2)
Americas,Cardiac infections,Staphylococcus aureus,144 ( 94 - 217)
Americas,Cardiac infections,Streptococcus pneumoniae, 14 ( 10 -  22)
Americas,Diarrhoea,Escherichia coli, 14 (  8 -  23)
Americas,Diarrhoea,Non-typhoidal Salmonella,  4 (  1 -  11)
Americas,Diarrhoea,Shigella spp., 21 ( 12 -  38)
Americas,Intra-abdominal infections,Enterococcus faecium,"1,128 (776 - 1,686)"
Americas,Intra-abdominal infections,Escherichia coli,"2,495 (1,637 - 3,652)"
Americas,Intra-abdominal infections,Klebsiella pneumoniae,"1,064 (665 - 1,702)"
Americas,Intra-abdominal infections,Staphylococcus aureus,"814 (582 - 1,202)"
Americas,LRI and thorax infections,Acinetobacter baumannii,"1,078 (586 - 1,965)"
Americas,LRI and thorax infections,Escherichia coli,"1,043 (753 - 1,403)"
Americas,LRI and thorax infections,Haemophilus influenzae,269 (193 - 362)
Americas,LRI and thorax infections,Klebsiella pneumoniae,"1,470 (1,099 - 1,980)"
Americas,LRI and thorax infections,Pseudomonas aeruginosa,"1,513 (1,074 - 2,118)"
Americas,LRI and thorax infections,Staphylococcus aureus,"3,727 (2,691 - 5,110)"
Americas,LRI and thorax infections,Streptococcus pneumoniae,"1,392 (953 - 1,950)"
Americas,TB,Mycobacterium tuberculosis,"1,399 (1,201 - 1,614)"
Americas,"Typhoid, paratyphoid, and iNTS",Non-typhoidal Salmonella,  1 (  0 -   2)
Americas,"Typhoid, paratyphoid, and iNTS",Salmonella Typhi,  4 (  2 -   7)
Americas,UTI,Acinetobacter baumannii, 88 ( 47 - 174)
Americas,UTI,Enterococcus faecium,161 ( 92 - 273)
Americas,UTI,Escherichia coli,"1,564 (1,060 - 2,076)"
Americas,UTI,Klebsiella pneumoniae,286 (186 - 432)
Americas,UTI,Staphylococcus aureus,155 (109 - 226)
Eastern Mediterranean,BSI,Acinetobacter baumannii,"1,229 (766 - 1,981)"
Eastern Mediterranean,BSI,Enterococcus faecium,384 (259 - 576)
Eastern Mediterranean,BSI,Escherichia coli,"1,006 (631 - 1,633)"
Eastern Mediterranean,BSI,Group A Streptococcus, 54 ( 34 -  89)
Eastern Mediterranean,BSI,Klebsiella pneumoniae,"6,803 (5,100 - 9,563)"
Eastern Mediterranean,BSI,Non-typhoidal Salmonella, 60 ( 33 - 111)
Eastern Mediterranean,BSI,Pseudomonas aeruginosa,636 (430 - 999)
Eastern Mediterranean,BSI,Salmonella Typhi,595 (412 - 892)
Eastern Mediterranean,BSI,Staphylococcus aureus,"709 (467 - 1,140)"
Eastern Mediterranean,BSI,Streptococcus pneumoniae,"1,160 (709 - 1,805)"
Eastern Mediterranean,Bacterial skin infections,Acinetobacter baumannii, 47 ( 11 - 181)
Eastern Mediterranean,Bacterial skin infections,Escherichia coli, 66 ( 24 - 183)
Eastern Mediterranean,Bacterial skin infections,Group A Streptococcus,  3 (  2 -   7)
Eastern Mediterranean,Bacterial skin infections,Klebsiella pneumoniae, 22 (  6 - 122)
Eastern Mediterranean,Bacterial skin infections,Staphylococcus aureus,152 ( 78 - 322)
Eastern Mediterranean,Bone and joint infections,Enterococcus faecium,  3 (  1 -   7)
Eastern Mediterranean,Bone and joint infections,Escherichia coli, 24 ( 11 -  49)
Eastern Mediterranean,Bone and joint infections,Group A Streptococcus,  0 (  0 -   1)
Eastern Mediterranean,Bone and joint infections,Klebsiella pneumoniae,  8 (  4 -  17)
Eastern Mediterranean,Bone and joint infections,Staphylococcus aureus, 35 ( 17 -  80)
Eastern Mediterranean,CNS infections,Escherichia coli,"742 (485 - 1,096)"
Eastern Mediterranean,CNS infections,Haemophilus influenzae,728 (533 - 989)
Eastern Mediterranean,CNS infections,Klebsiella pneumoniae,"834 (589 - 1,194)"
Eastern Mediterranean,CNS infections,Staphylococcus aureus,310 (217 - 444)
Eastern Mediterranean,CNS infections,Streptococcus pneumoniae,"1,352 (928 - 1,922)"
Eastern Mediterranean,Cardiac infections,Acinetobacter baumannii, 41 ( 27 -  61)
Eastern Mediterranean,Cardiac infections,Enterococcus faecium, 11 (  7 -  17)
Eastern Mediterranean,Cardiac infections,Escherichia coli, 29 ( 19 -  42)
Eastern Mediterranean,Cardiac infections,Group A Streptococcus,  0 (  0 -   1)
Eastern Mediterranean,Cardiac infections,Klebsiella pneumoniae, 48 ( 34 -  68)
Eastern Mediterranean,Cardiac infections,Non-typhoidal Salmonella,  0 (  0 -   1)
Eastern Mediterranean,Cardiac infections,Salmonella Typhi, 17 ( 12 -  26)
Eastern Mediterranean,Cardiac infections,Staphylococcus aureus, 22 ( 15 -  34)
Eastern Mediterranean,Cardiac infections,Streptococcus pneumoniae, 24 ( 14 -  41)
Eastern Mediterranean,Diarrhoea,Escherichia coli,420 (231 - 706)
Eastern Mediterranean,Diarrhoea,Non-typhoidal Salmonella, 44 ( 17 - 141)
Eastern Mediterranean,Diarrhoea,Shigella spp.,488 (257 - 907)
Eastern Mediterranean,Intra-abdominal infections,Enterococcus faecium,586 (367 - 972)
Eastern Mediterranean,Intra-abdominal infections,Escherichia coli,"1,355 (872 - 2,118)"
Eastern Mediterranean,Intra-abdominal infections,Klebsiella pneumoniae,"807 (503 - 1,329)"
Eastern Mediterranean,Intra-abdominal infections,Staphylococcus aureus,578 (349 - 829)
Eastern Mediterranean,LRI and thorax infections,Acinetobacter baumannii,"1,359 (851 - 2,096)"
Eastern Mediterranean,LRI and thorax infections,Escherichia coli,"1,884 (1,428 - 2,491)"
Eastern Mediterranean,LRI and thorax infections,Haemophilus influenzae,"1,413 (1,035 - 1,962)"
Eastern Mediterranean,LRI and thorax infections,Klebsiella pneumoniae,"3,674 (2,820 - 4,913)"
