WHO_region,Disease_presentation,Pathogen,vaccine_averted_burden
Africa,BSI,Acinetobacter baumannii,344 (240 - 537)
Africa,BSI,Enterococcus faecium,139 ( 90 - 211)
Africa,BSI,Escherichia coli,447 (292 - 660)
Africa,BSI,Group A Streptococcus, 30 ( 12 -  72)
Africa,BSI,Klebsiella pneumoniae,"5,097 (3,871 - 7,261)"
Africa,BSI,Non-typhoidal Salmonella, 10 (  4 -  19)
Africa,BSI,Pseudomonas aeruginosa,270 (186 - 387)
Africa,BSI,Salmonella Typhi,392 (256 - 711)
Africa,BSI,Staphylococcus aureus,199 (134 - 301)
Africa,BSI,Streptococcus pneumoniae,"755 (454 - 1,200)"
Africa,Bacterial skin infections,Acinetobacter baumannii, 28 (  9 - 115)
Africa,Bacterial skin infections,Escherichia coli, 41 ( 19 - 101)
Africa,Bacterial skin infections,Group A Streptococcus,  3 (  1 -  10)
Africa,Bacterial skin infections,Klebsiella pneumoniae, 18 (  5 -  65)
Africa,Bacterial skin infections,Staphylococcus aureus,131 ( 82 - 208)
Africa,Bone and joint infections,Enterococcus faecium,  1 (  0 -   2)
Africa,Bone and joint infections,Escherichia coli, 10 (  5 -  19)
Africa,Bone and joint infections,Klebsiella pneumoniae,  4 (  1 -   8)
Africa,Bone and joint infections,Staphylococcus aureus, 12 (  5 -  25)
Africa,CNS infections,Escherichia coli,"900 (618 - 1,300)"
Africa,CNS infections,Haemophilus influenzae,508 (327 - 860)
Africa,CNS infections,Klebsiella pneumoniae,"1,344 (822 - 2,084)"
Africa,CNS infections,Staphylococcus aureus,318 (216 - 497)
Africa,CNS infections,Streptococcus pneumoniae,"1,419 (975 - 2,128)"
Africa,Cardiac infections,Acinetobacter baumannii,  6 (  4 -   9)
Africa,Cardiac infections,Enterococcus faecium,  2 (  2 -   4)
Africa,Cardiac infections,Escherichia coli,  9 (  6 -  14)
Africa,Cardiac infections,Klebsiella pneumoniae, 24 ( 17 -  33)
Africa,Cardiac infections,Salmonella Typhi,  7 (  5 -  12)
Africa,Cardiac infections,Staphylococcus aureus,  3 (  2 -   5)
Africa,Cardiac infections,Streptococcus pneumoniae, 10 (  6 -  16)
Africa,Diarrhoea,Escherichia coli,436 (249 - 755)
Africa,Diarrhoea,Non-typhoidal Salmonella, 22 (  8 -  70)
Africa,Diarrhoea,Shigella spp.,"543 (282 - 1,139)"
Africa,Intra-abdominal infections,Enterococcus faecium,254 (142 - 443)
Africa,Intra-abdominal infections,Escherichia coli,589 (417 - 872)
Africa,Intra-abdominal infections,Klebsiella pneumoniae,405 (270 - 658)
Africa,Intra-abdominal infections,Staphylococcus aureus,248 (168 - 361)
Africa,LRI and thorax infections,Acinetobacter baumannii,"952 (665 - 1,434)"
Africa,LRI and thorax infections,Escherichia coli,"1,777 (1,372 - 2,290)"
Africa,LRI and thorax infections,Haemophilus influenzae,"1,261 (883 - 1,970)"
Africa,LRI and thorax infections,Klebsiella pneumoniae,"4,115 (2,959 - 5,459)"
Africa,LRI and thorax infections,Pseudomonas aeruginosa,"1,201 (878 - 1,643)"
Africa,LRI and thorax infections,Staphylococcus aureus,"2,781 (2,069 - 3,754)"
Africa,LRI and thorax infections,Streptococcus pneumoniae,"4,920 (3,245 - 7,477)"
Africa,TB,Mycobacterium tuberculosis,"10,799 (8,612 - 13,530)"
Africa,"Typhoid, paratyphoid, and iNTS",Non-typhoidal Salmonella, 36 ( 17 -  83)
Africa,"Typhoid, paratyphoid, and iNTS",Salmonella Paratyphi,  2 (  1 -   8)
Africa,"Typhoid, paratyphoid, and iNTS",Salmonella Typhi,"958 (551 - 1,614)"
Africa,UTI,Acinetobacter baumannii,  8 (  4 -  15)
Africa,UTI,Enterococcus faecium, 10 (  5 -  20)
Africa,UTI,Escherichia coli, 82 ( 57 - 120)
Africa,UTI,Klebsiella pneumoniae, 25 ( 15 -  41)
Africa,UTI,Staphylococcus aureus, 11 (  7 -  16)
Americas,BSI,Acinetobacter baumannii,536 (289 - 900)
Americas,BSI,Enterococcus faecium,255 (158 - 415)
Americas,BSI,Escherichia coli,457 (256 - 828)
Americas,BSI,Group A Streptococcus,  5 (  2 -  14)
Americas,BSI,Klebsiella pneumoniae,"769 (554 - 1,138)"
Americas,BSI,Non-typhoidal Salmonella,  1 (  0 -   3)
