Counts,Associated_death_baseline,Attributable_death_baseline,Susceptible_death_baseline,Associated_daly_baseline,Attributable_daly_baseline,Susceptible_daly_baseline,Associated_death_high-potential,Attributable_death_high-potential,Susceptible_death_high-potential,Associated_daly_high-potential,Attributable_daly_high-potential,Susceptible_daly_high-potential,Associated_death_incremental,Attributable_death_incremental,Susceptible_death_incremental,Associated_daly_incremental,Attributable_daly_incremental,Susceptible_daly_incremental
Bacterial skin infections,"3,506 ( 2,715 - 4,894 )","945 ( 711 - 1,277 )","1,402 ( 1,162 - 1,659 )","128,642 ( 109,494 - 164,819 )","30,205 ( 24,428 - 38,056 )","87,280 ( 79,113 - 102,713 )","23,549 ( 21,340 - 26,046 )","6,383 ( 5,827 - 7,211 )","6,910 ( 6,200 - 7,578 )","624,760 ( 565,107 - 716,552 )","142,599 ( 128,163 - 163,937 )","215,396 ( 196,003 - 241,193 )","20,049 ( 17,865 - 22,456 )","111,982 ( 98,503 - 134,653 )","127,210 ( 115,533 - 147,961 )","497,384 ( 441,973 - 563,294 )","111,982 ( 98,503 - 134,653 )","127,210 ( 115,533 - 147,961 )"
Bone and joint infections,528 ( 390 - 762 ),134 (  94 - 191 ),210 ( 167 - 300 ),"9,420 ( 7,027 - 13,547 )","820 ( 450 - 1,446 )","4,880 ( 3,395 - 6,955 )","4,039 ( 3,666 - 4,423 )","1,003 ( 919 - 1,102 )","1,477 ( 1,330 - 1,654 )","80,389 ( 72,936 - 88,168 )","9,939 ( 8,716 - 11,667 )","25,015 ( 21,481 - 28,476 )","3,520 ( 3,221 - 3,870 )","9,135 ( 7,921 - 10,512 )","20,096 ( 17,157 - 22,859 )","70,954 ( 64,155 - 78,531 )","9,135 ( 7,921 - 10,512 )","20,096 ( 17,157 - 22,859 )"
BSI,"111,607 ( 103,581 - 123,240 )","30,932 ( 28,017 - 33,307 )","34,641 ( 31,805 - 36,888 )","5,602,734 ( 5,124,395 - 6,127,968 )","1,516,906 ( 1,368,498 - 1,643,328 )","1,874,249 ( 1,761,947 - 2,048,493 )","514,421 ( 497,629 - 530,505 )","141,744 ( 137,159 - 147,669 )","149,598 ( 144,180 - 156,328 )","17,464,799 ( 16,775,894 - 18,028,933 )","4,736,767 ( 4,569,027 - 4,917,760 )","4,947,414 ( 4,796,260 - 5,139,561 )","402,672 ( 388,806 - 416,226 )","3,229,498 ( 3,125,384 - 3,368,827 )","3,068,462 ( 2,963,686 - 3,211,477 )","11,835,193 ( 11,420,408 - 12,208,000 )","3,229,498 ( 3,125,384 - 3,368,827 )","3,068,462 ( 2,963,686 - 3,211,477 )"
Cardiac infections,"2,133 ( 1,975 - 2,351 )",586 ( 531 - 661 ),"884 ( 815 - 1,000 )","65,319 ( 59,989 - 69,521 )","11,226 ( 10,274 - 12,091 )","25,586 ( 23,637 - 28,393 )","15,884 ( 15,433 - 16,344 )","4,434 ( 4,277 - 4,569 )","6,061 ( 5,797 - 6,340 )","370,197 ( 360,178 - 380,256 )","74,309 ( 72,608 - 76,489 )","107,321 ( 102,675 - 111,168 )","13,734 ( 13,325 - 14,184 )","63,149 ( 61,524 - 65,296 )","81,812 ( 77,390 - 85,079 )","304,520 ( 296,814 - 313,712 )","63,149 ( 61,524 - 65,296 )","81,812 ( 77,390 - 85,079 )"
CNS infections,"22,280 ( 19,310 - 24,993 )","5,438 ( 4,808 - 5,991 )","12,021 ( 10,519 - 13,907 )","1,930,436 ( 1,705,343 - 2,185,500 )","454,646 ( 395,335 - 534,833 )","1,068,077 ( 929,570 - 1,213,657 )","35,192 ( 32,261 - 37,868 )","9,033 ( 8,367 - 9,607 )","14,490 ( 12,981 - 16,419 )","2,615,573 ( 2,394,727 - 2,882,267 )","628,920 ( 571,073 - 713,863 )","1,181,557 ( 1,044,852 - 1,326,231 )","12,969 ( 12,461 - 13,480 )","177,813 ( 168,618 - 189,843 )","112,422 ( 108,525 - 117,049 )","680,323 ( 655,629 - 730,867 )","177,813 ( 168,618 - 189,843 )","112,422 ( 108,525 - 117,049 )"
Diarrhoea,"7,847 ( 6,413 - 10,254 )","1,918 ( 1,472 - 2,618 )","30,791 ( 22,033 - 49,081 )","724,463 ( 589,770 - 894,080 )","170,201 ( 134,550 - 251,281 )","2,838,565 ( 1,921,521 - 4,090,870 )","7,847 ( 6,413 - 10,254 )","1,918 ( 1,472 - 2,618 )","30,791 ( 22,033 - 49,081 )","724,463 ( 589,770 - 894,080 )","170,201 ( 134,550 - 251,281 )","2,838,565 ( 1,921,521 - 4,090,870 )",  0 (   0 -   0 ),  0 (   0 -   0 ),  0 (   0 -   0 ),  0 (   0 -   0 ),  0 (   0 -   0 ),  0 (   0 -   0 )
Gonorrhoea and chlamydia,,,,"9,061 ( 7,403 - 11,399 )",462 ( 436 - 494 ),"954 ( 701 - 1,264 )",,,,"9,061 ( 7,403 - 11,399 )",462 ( 436 - 494 ),"954 ( 701 - 1,264 )",,,,  0 (   0 -   0 ),  0 (   0 -   0 ),  0 (   0 -   0 )
Intra-abdominal infections,"21,874 ( 19,723 - 24,381 )","5,858 ( 5,202 - 6,859 )","5,566 ( 4,879 - 6,155 )","607,701 ( 550,048 - 669,342 )","162,927 ( 145,729 - 185,898 )","141,411 ( 129,812 - 156,808 )","165,324 ( 159,815 - 170,701 )","45,127 ( 43,829 - 46,863 )","45,794 ( 44,231 - 47,125 )","4,434,638 ( 4,311,385 - 4,629,085 )","1,200,695 ( 1,157,466 - 1,244,491 )","1,155,025 ( 1,112,462 - 1,195,872 )","143,353 ( 138,475 - 148,209 )","1,037,703 ( 997,192 - 1,075,431 )","1,011,045 ( 973,662 - 1,057,706 )","3,833,500 ( 3,705,676 - 3,998,786 )","1,037,703 ( 997,192 - 1,075,431 )","1,011,045 ( 973,662 - 1,057,706 )"
LRI and thorax infections,"160,230 ( 151,510 - 167,933 )","39,419 ( 36,785 - 42,358 )","83,262 ( 79,151 - 88,931 )","11,021,185 ( 10,557,801 - 11,719,435 )","2,633,878 ( 2,440,450 - 2,906,886 )","6,308,108 ( 5,902,539 - 6,727,954 )","492,968 ( 482,307 - 506,705 )","130,857 ( 125,372 - 135,205 )","203,261 ( 198,497 - 208,869 )","22,663,462 ( 21,941,680 - 23,495,322 )","5,785,475 ( 5,547,915 - 6,194,393 )","9,545,109 ( 9,130,121 - 9,962,418 )","332,877 ( 324,571 - 341,876 )","3,176,487 ( 2,983,064 - 3,396,632 )","3,226,891 ( 3,136,358 - 3,403,198 )","11,599,080 ( 11,148,270 - 12,247,249 )","3,176,487 ( 2,983,064 - 3,396,632 )","3,226,891 ( 3,136,358 - 3,403,198 )"
TB,"117,557 ( 106,211 - 130,204 )","52,338 ( 43,289 - 61,731 )","548,841 ( 533,713 - 568,419 )","4,565,158 ( 4,149,957 - 4,931,226 )","1,874,467 ( 1,675,326 - 2,155,341 )","22,180,298 ( 21,480,989 - 22,880,601 )","117,557 ( 106,211 - 130,204 )","52,338 ( 43,289 - 61,731 )","548,841 ( 533,713 - 568,419 )","4,565,158 ( 4,149,957 - 4,931,226 )","1,874,467 ( 1,675,326 - 2,155,341 )","22,180,298 ( 21,480,989 - 22,880,601 )",  0 (   0 -   0 ),  0 (   0 -   0 ),  0 (   0 -   0 ),  0 (   0 -   0 ),  0 (   0 -   0 ),  0 (   0 -   0 )
"Typhoid, paratyphoid, and iNTS","33,492 ( 25,362 - 42,085 )","6,730 ( 4,795 - 9,028 )","39,926 ( 30,196 - 55,249 )","2,701,258 ( 2,166,360 - 3,318,223 )","527,032 ( 423,387 - 683,259 )","3,424,716 ( 2,723,484 - 4,669,046 )","33,492 ( 25,362 - 42,085 )","6,730 ( 4,795 - 9,028 )","39,926 ( 30,196 - 55,249 )","2,701,258 ( 2,166,360 - 3,318,223 )","527,032 ( 423,387 - 683,259 )","3,424,716 ( 2,723,484 - 4,669,046 )",  0 (   0 -   0 ),  0 (   0 -   0 ),  0 (   0 -   0 ),  0 (   0 -   0 ),  0 (   0 -   0 ),  0 (   0 -   0 )
UTI,"11,112 ( 10,160 - 12,166 )","3,034 ( 2,703 - 3,408 )","2,223 ( 2,066 - 2,462 )","240,423 ( 223,319 - 258,842 )","63,102 ( 58,910 - 68,288 )","39,085 ( 35,401 - 43,034 )","85,671 ( 83,150 - 89,589 )","23,312 ( 22,452 - 24,265 )","18,839 ( 18,310 - 19,543 )","1,867,554 ( 1,818,490 - 1,909,379 )","495,917 ( 481,607 - 508,378 )","307,708 ( 301,012 - 315,375 )","74,527 ( 72,367 - 77,785 )","431,519 ( 419,277 - 444,664 )","268,207 ( 261,854 - 275,081 )","1,625,348 ( 1,587,992 - 1,666,975 )","431,519 ( 419,277 - 444,664 )","268,207 ( 261,854 - 275,081 )"
