Counts,Associated_death_baseline,Attributable_death_baseline,Susceptible_death_baseline,Associated_daly_baseline,Attributable_daly_baseline,Susceptible_daly_baseline,Associated_death_high-potential,Attributable_death_high-potential,Susceptible_death_high-potential,Associated_daly_high-potential,Attributable_daly_high-potential,Susceptible_daly_high-potential,Associated_death_incremental,Attributable_death_incremental,Susceptible_death_incremental,Associated_daly_incremental,Attributable_daly_incremental,Susceptible_daly_incremental
Acinetobacter baumannii,"34,588 ( 28,602 - 42,745 )","10,887 ( 8,967 - 13,649 )","2,407 ( 1,902 - 3,343 )","1,027,915 ( 889,316 - 1,197,147 )","317,057 ( 275,826 - 373,956 )","66,922 ( 55,657 - 84,273 )","217,178 ( 204,226 - 231,539 )","68,008 ( 63,936 - 72,754 )","14,964 ( 13,757 - 16,379 )","5,997,326 ( 5,692,403 - 6,349,634 )","1,857,742 ( 1,747,874 - 1,979,071 )","371,347 ( 347,117 - 399,433 )","182,470 ( 170,801 - 195,323 )","57,075 ( 53,481 - 61,191 )","12,517 ( 11,581 - 13,676 )","4,978,190 ( 4,706,194 - 5,291,138 )","1,538,725 ( 1,443,923 - 1,650,171 )","303,366 ( 281,982 - 328,164 )"
Enterococcus faecium,"14,060 ( 12,477 - 15,807 )","3,671 ( 3,129 - 4,245 )","1,382 ( 1,215 - 1,580 )","415,154 ( 373,676 - 462,667 )","104,966 ( 91,660 - 120,836 )","40,503 ( 36,108 - 45,865 )","100,731 ( 96,362 - 105,058 )","26,344 ( 25,063 - 27,887 )","9,819 ( 9,384 - 10,264 )","2,729,853 ( 2,603,413 - 2,843,599 )","698,106 ( 660,023 - 740,762 )","265,986 ( 252,533 - 280,465 )","86,599 ( 82,626 - 90,744 )","22,698 ( 21,466 - 24,089 )","8,427 ( 8,021 - 8,852 )","2,312,601 ( 2,194,374 - 2,424,463 )","593,241 ( 558,504 - 634,600 )","225,381 ( 214,123 - 238,077 )"
Escherichia coli,"24,993 ( 21,729 - 29,518 )","6,599 ( 5,609 - 7,845 )","4,138 ( 3,385 - 5,385 )","749,395 ( 654,219 - 868,508 )","196,342 ( 169,856 - 228,793 )","85,490 ( 72,778 - 102,959 )","155,312 ( 146,846 - 164,553 )","40,327 ( 37,849 - 42,850 )","28,872 ( 26,737 - 31,642 )","4,008,562 ( 3,802,297 - 4,231,449 )","1,053,684 ( 1,001,373 - 1,117,979 )","556,855 ( 523,958 - 593,071 )","130,253 ( 123,006 - 138,506 )","33,670 ( 31,449 - 35,961 )","24,698 ( 22,748 - 27,222 )","3,249,964 ( 3,080,960 - 3,451,414 )","857,306 ( 811,355 - 915,351 )","469,835 ( 440,722 - 505,114 )"
Group A Streptococcus,793 ( 646 - 964 ), 83 (  55 - 133 ),"4,660 ( 3,948 - 5,550 )","69,719 ( 58,572 - 84,620 )","6,334 ( 3,940 - 10,637 )","421,217 ( 353,754 - 505,988 )",793 ( 646 - 964 ), 83 (  55 - 133 ),"4,660 ( 3,948 - 5,550 )","69,719 ( 58,572 - 84,620 )","6,334 ( 3,940 - 10,637 )","421,217 ( 353,754 - 505,988 )",  0 (   0 -   0 ),  0 (   0 -   0 ),  0 (   0 -   0 ),  0 (   0 -   0 ),  0 (   0 -   0 ),  0 (   0 -   0 )
Haemophilus influenzae,"21,717 ( 19,415 - 24,292 )","4,944 ( 4,067 - 6,047 )","49,516 ( 44,881 - 54,588 )","1,878,325 ( 1,676,258 - 2,104,200 )","419,599 ( 346,201 - 513,491 )","4,301,049 ( 3,876,285 - 4,758,913 )","21,717 ( 19,415 - 24,292 )","4,944 ( 4,067 - 6,047 )","49,516 ( 44,881 - 54,588 )","1,878,325 ( 1,676,258 - 2,104,200 )","419,599 ( 346,201 - 513,491 )","4,301,049 ( 3,876,285 - 4,758,913 )",  0 (   0 -   0 ),  0 (   0 -   0 ),  0 (   0 -   0 ),  0 (   0 -   0 ),  0 (   0 -   0 ),  0 (   0 -   0 )
Klebsiella pneumoniae,"90,120 ( 83,643 - 97,605 )","26,836 ( 24,629 - 29,659 )","13,701 ( 12,526 - 14,991 )","5,931,773 ( 5,422,878 - 6,488,740 )","1,751,481 ( 1,584,391 - 1,967,679 )","650,867 ( 608,236 - 699,527 )","321,641 ( 310,314 - 331,665 )","96,929 ( 93,034 - 100,976 )","74,101 ( 71,567 - 76,974 )","13,670,138 ( 12,982,948 - 14,445,643 )","4,069,401 ( 3,830,906 - 4,375,807 )","2,043,771 ( 1,968,763 - 2,123,172 )","231,230 ( 222,704 - 239,298 )","69,944 ( 67,281 - 73,157 )","60,400 ( 58,230 - 62,901 )","7,734,001 ( 7,299,096 - 8,282,530 )","2,320,305 ( 2,168,301 - 2,523,070 )","1,391,872 ( 1,337,906 - 1,451,770 )"
Mycobacterium tuberculosis,"118,250 ( 107,668 - 130,801 )","51,672 ( 45,365 - 60,610 )","548,230 ( 531,555 - 564,956 )","4,577,388 ( 4,202,861 - 4,987,311 )","1,862,627 ( 1,618,690 - 2,158,734 )","22,107,588 ( 21,465,132 - 22,857,388 )","118,250 ( 107,668 - 130,801 )","51,672 ( 45,365 - 60,610 )","548,230 ( 531,555 - 564,956 )","4,577,388 ( 4,202,861 - 4,987,311 )","1,862,627 ( 1,618,690 - 2,158,734 )","22,107,588 ( 21,465,132 - 22,857,388 )",  0 (   0 -   0 ),  0 (   0 -   0 ),  0 (   0 -   0 ),  0 (   0 -   0 ),  0 (   0 -   0 ),  0 (   0 -   0 )
Neisseria gonorrhoeae,,,,"8,989 ( 7,155 - 11,558 )",462 ( 434 - 490 ),"953 ( 703 - 1,460 )",,,,"8,989 ( 7,155 - 11,558 )",462 ( 434 - 490 ),"953 ( 703 - 1,460 )",,,,  0 (   0 -   0 ),  0 (   0 -   0 ),  0 (   0 -   0 )
Non-typhoidal Salmonella,"1,836 ( 1,428 - 2,578 )",395 ( 284 - 624 ),"47,809 ( 35,271 - 66,809 )","177,910 ( 132,627 - 249,250 )","34,574 ( 24,290 - 54,248 )","4,310,867 ( 3,172,657 - 6,029,355 )","1,836 ( 1,428 - 2,578 )",395 ( 284 - 624 ),"47,809 ( 35,271 - 66,809 )","177,910 ( 132,627 - 249,250 )","34,574 ( 24,290 - 54,248 )","4,310,867 ( 3,172,657 - 6,029,355 )",  0 (   0 -   0 ),  0 (   0 -   0 ),  0 (   0 -   0 ),  0 (   0 -   0 ),  0 (   0 -   0 ),  0 (   0 -   0 )
Pseudomonas aeruginosa,"20,721 ( 18,824 - 23,098 )","5,282 ( 4,684 - 6,010 )","13,115 ( 11,792 - 14,589 )","990,472 ( 904,765 - 1,093,137 )","253,947 ( 223,898 - 288,798 )","573,496 ( 516,894 - 633,902 )","119,080 ( 114,123 - 124,127 )","30,474 ( 28,855 - 32,109 )","78,342 ( 75,284 - 81,853 )","4,824,860 ( 4,537,725 - 5,117,062 )","1,238,693 ( 1,147,009 - 1,331,688 )","2,733,183 ( 2,598,106 - 2,896,583 )","98,277 ( 93,804 - 102,892 )","25,147 ( 23,755 - 26,616 )","65,186 ( 62,345 - 68,275 )","3,832,209 ( 3,584,097 - 4,107,137 )","984,690 ( 906,542 - 1,071,591 )","2,159,091 ( 2,035,512 - 2,312,944 )"
