Pathogen,Efficacy,Coverage,Duration,DP,VC,VO,MainAnalysis,Associated_death_averted,Attributable_death_averted,Associated_daly_averted,Attributable_daly_averted,Associated_death_averted_opt,Attributable_death_averted_opt,Associated_daly_averted_opt,Attributable_daly_averted_opt
Acinetobacter baumannii,0.7,0.7,5 years,BSI,60 year,60 years and above,Yes,"8,251 ( 6,325 - 11,307 )","2,582 ( 1,975 - 3,476 )","227,468 ( 176,750 - 315,720 )","71,897 ( 54,854 - 99,026 )","79,703 ( 70,415 - 91,303 )","25,226 ( 22,276 - 28,229 )","1,308,930 ( 1,154,449 - 1,497,175 )","411,728 ( 363,069 - 473,087 )"
Enterococcus faecium,0.7,0.7,5 years,All,60 year,60 years and above,Yes,"10,787 ( 9,410 - 12,671 )","2,854 ( 2,371 - 3,364 )","300,938 ( 259,633 - 352,782 )","78,923 ( 65,639 - 95,035 )","69,187 ( 65,305 - 72,888 )","18,137 ( 16,857 - 19,599 )","1,183,586 ( 1,103,959 - 1,264,030 )","307,789 ( 284,499 - 333,956 )"
Escherichia coli,0.7,0.7,2 years,UTI,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes,"1,604 ( 1,417 - 1,816 )",437 ( 376 - 513 ),"66,511 ( 58,616 - 74,585 )","17,886 ( 15,505 - 20,656 )","40,420 ( 38,582 - 42,553 )","10,427 ( 9,805 - 11,068 )","622,905 ( 593,008 - 654,884 )","162,598 ( 154,294 - 173,985 )"
Group A Streptococcus,0.7,0.7,5 years,All,4 week (effective at 6 week),under 5,Yes,"813 ( 682 - 1,000 )", 85 (  55 - 137 ),"71,330 ( 58,497 - 87,347 )","6,590 ( 3,960 - 11,088 )","813 ( 682 - 1,000 )", 85 (  55 - 137 ),"71,330 ( 58,497 - 87,347 )","6,590 ( 3,960 - 11,088 )"
Haemophilus influenzae,0.9,0.9,5 years,All,10 week (effective at 12 week),under 5,Yes,"24,148 ( 21,578 - 27,254 )","5,471 ( 4,618 - 6,617 )","2,103,441 ( 1,853,278 - 2,346,498 )","472,558 ( 390,217 - 574,846 )","24,148 ( 21,578 - 27,254 )","5,471 ( 4,618 - 6,617 )","2,103,441 ( 1,853,278 - 2,346,498 )","472,558 ( 390,217 - 574,846 )"
Klebsiella pneumoniae,0.7,0.7,5 years,All,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes,"57,163 ( 52,776 - 61,542 )","17,035 ( 15,586 - 18,605 )","3,779,436 ( 3,475,531 - 4,100,211 )","1,104,497 ( 996,624 - 1,248,671 )","207,015 ( 199,515 - 215,901 )","62,546 ( 59,409 - 65,717 )","5,988,714 ( 5,677,275 - 6,322,071 )","1,769,778 ( 1,656,218 - 1,910,409 )"
Mycobacterium tuberculosis,0.5,0.7,10 years,All,60 year,above 10,Yes,"13,229 ( 10,216 - 17,485 )","5,792 ( 4,010 - 9,027 )","359,222 ( 279,265 - 456,164 )","144,356 ( 98,179 - 239,965 )","70,784 ( 64,468 - 77,515 )","30,926 ( 26,781 - 36,321 )","2,564,441 ( 2,337,158 - 2,831,641 )","1,050,659 ( 903,152 - 1,248,502 )"
Neisseria gonorrhoeae,0.7,0.7,10 years,gonorrhoea and chlamydia,15 year,10 to 34 year,Yes,,,"9,055 ( 7,278 - 11,769 )",461 ( 434 - 489 ),,,"18,775 ( 16,094 - 21,935 )",462 ( 435 - 490 )
Non-typhoidal Salmonella,0.8,0.7,5 years,All,4 week (effective at 6 week),under 5,Yes,"1,831 ( 1,424 - 2,625 )",396 ( 286 - 597 ),"176,965 ( 134,096 - 255,331 )","35,468 ( 24,398 - 55,246 )","1,831 ( 1,424 - 2,625 )",396 ( 286 - 597 ),"176,965 ( 134,096 - 255,331 )","35,468 ( 24,398 - 55,246 )"
Pseudomonas aeruginosa,0.7,0.7,1 year,"BSI, LRI and thorax infections",60 year,60 years and above,Yes,"1,481 ( 1,282 - 1,729 )",377 ( 316 - 452 ),"41,472 ( 36,674 - 47,653 )","10,507 ( 8,841 - 13,174 )","68,276 ( 64,516 - 72,181 )","17,364 ( 16,283 - 18,468 )","1,087,628 ( 1,023,857 - 1,159,029 )","275,996 ( 255,899 - 296,746 )"
Salmonella Paratyphi,0.7,0.7,5 years,All,4 week (effective at 6 week),under 5,Yes,"1,220 ( 655 - 2,515 )",247 ( 123 - 527 ),"105,234 ( 54,693 - 219,864 )","21,160 ( 10,357 - 45,147 )","1,220 ( 655 - 2,515 )",247 ( 123 - 527 ),"105,234 ( 54,693 - 219,864 )","21,160 ( 10,357 - 45,147 )"
Salmonella Typhi,0.85,0.7,20 years,All,9 month,below 35,Yes,"42,030 ( 33,481 - 51,605 )","8,092 ( 6,385 - 11,077 )","3,348,207 ( 2,769,592 - 4,168,948 )","651,478 ( 492,527 - 879,950 )","50,764 ( 42,128 - 60,776 )","9,920 ( 7,916 - 12,862 )","3,912,036 ( 3,314,976 - 4,713,250 )","759,895 ( 596,651 - 1,010,267 )"
Shigella spp.,0.6,0.7,5 years,All,4 week (effective at 6 week),under 5,Yes,"5,067 ( 3,463 - 6,866 )","1,099 ( 667 - 1,774 )","451,423 ( 313,035 - 654,416 )","98,228 ( 59,503 - 168,706 )","5,067 ( 3,463 - 6,866 )","1,099 ( 667 - 1,774 )","451,423 ( 313,035 - 654,416 )","98,228 ( 59,503 - 168,706 )"
Staphylococcus aureus,0.6,0.7,2 years,All,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes,"26,199 ( 24,164 - 28,785 )","6,267 ( 5,631 - 7,022 )","1,768,470 ( 1,625,351 - 1,954,422 )","415,475 ( 369,094 - 474,342 )","229,311 ( 221,898 - 237,682 )","55,615 ( 52,683 - 58,736 )","5,310,900 ( 5,064,510 - 5,591,281 )","1,257,971 ( 1,182,912 - 1,337,587 )"
Streptococcus pneumoniae,0.7,0.9,2 years,"BSI, CNS infections, Cardiac infections, LRI",10 week (effective at 12 week),under 5,Yes,"82,506 ( 74,046 - 91,952 )","16,809 ( 14,389 - 19,864 )","7,250,159 ( 6,476,751 - 8,139,993 )","1,489,850 ( 1,289,578 - 1,800,373 )","117,313 ( 106,047 - 129,644 )","24,005 ( 20,776 - 28,347 )","10,251,899 ( 9,252,730 - 11,518,827 )","2,115,321 ( 1,839,936 - 2,480,263 )"
