WHO_region,Disease_presentation,Age_group,Pathogen,burden_mean_value,burden_lower_value,burden_upper_value,Efficacy,Coverage,Duration,DP,VC,VO,MainAnalysis,HBG,hib_vaccine_coverage_2019,hib_vaccine_coverage_2018,pcv_vaccine_coverage_2019,pcv_vaccine_coverage_2018,a,x,y
Africa,Bacterial skin infections,EN,Acinetobacter baumannii,4.31963851468068,0.00428087985276169,29.6557833599214,0.7,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,70 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,Bacterial skin infections,LN,Acinetobacter baumannii,0.137858083455809,0.00021030755657945,1.10199470621813,0.7,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,70 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,Bacterial skin infections,PN,Acinetobacter baumannii,7.32307569243511,0.258568327894789,34.8960576264456,0.7,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,70 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,Bacterial skin infections,1 to 4,Acinetobacter baumannii,6.02707052004371,0.202457796571159,30.418956427241,0.7,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,70 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,Bacterial skin infections,5 to 9,Acinetobacter baumannii,1.51942400603875,0.0290759240334707,10.6872987872794,0.7,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,70 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,Bacterial skin infections,10 to 14,Acinetobacter baumannii,1.92712323580871,0.0425373288194224,12.9392062790109,0.7,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,70 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,Bacterial skin infections,15 to 19,Acinetobacter baumannii,4.90455157360687,0.125777012012647,31.0814138802152,0.7,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,70 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,Bacterial skin infections,20 to 24,Acinetobacter baumannii,5.10589115647094,0.128951135754226,31.5329769735958,0.7,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,70 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,Bacterial skin infections,25 to 29,Acinetobacter baumannii,3.1564199209937,0.0834511783463691,19.0633310298462,0.7,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,70 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,Bacterial skin infections,30 to 34,Acinetobacter baumannii,3.88066654240095,0.110474989717024,23.5122671170347,0.7,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,70 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,Bacterial skin infections,35 to 39,Acinetobacter baumannii,3.59169636550265,0.0960448919475147,21.8680725674074,0.7,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,70 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,Bacterial skin infections,40 to 44,Acinetobacter baumannii,5.47836443098027,0.151100325329489,32.4019444434472,0.7,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,70 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,Bacterial skin infections,45 to 49,Acinetobacter baumannii,8.20089878507305,0.237528834771063,47.2916397491781,0.7,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,70 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,Bacterial skin infections,50 to 54,Acinetobacter baumannii,14.0705231487765,0.283051654948102,74.4823192438109,0.7,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,70 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,Bacterial skin infections,55 to 59,Acinetobacter baumannii,21.2248445926667,0.462358509514677,115.250055139294,0.7,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,70 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
