WHO_region,Disease_presentation,Age_group,Pathogen,burden_mean_value,burden_lower_value,burden_upper_value,hib_vaccine_coverage_2019,hib_vaccine_coverage_2018,pcv_vaccine_coverage_2019,pcv_vaccine_coverage_2018,Efficacy,Coverage,Duration,DP,VC,VO,MainAnalysis
Africa,BSI,EN,Acinetobacter baumannii,394000,245000,598000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,BSI,60 year,60 years and above,Yes
Africa,BSI,EN,Enterococcus faecium,201000,131000,303000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,60 year,60 years and above,Yes
Africa,BSI,EN,Escherichia coli,460000,305000,680000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,2 years,UTI,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,EN,Group A Streptococcus,67000,42000,106000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,4 week (effective at 6 week),under 5,Yes
Africa,BSI,EN,Klebsiella pneumoniae,1700000,1121000,2531000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,5 years,All,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,EN,Non-typhoidal Salmonella,16000,8000,28000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.8,0.7,5 years,All,4 week (effective at 6 week),under 5,Yes
Africa,BSI,EN,Pseudomonas aeruginosa,492000,320000,749000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.7,1 year,"BSI, LRI and thorax infections",60 year,60 years and above,Yes
Africa,BSI,EN,Salmonella Typhi,1073000,626000,1694000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.85,0.7,20 years,All,9 month,below 35,Yes
Africa,BSI,EN,Staphylococcus aureus,488000,323000,730000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.6,0.7,2 years,All,"4 week (effective at 6 week), 60 year","under 5, 60 years and above",Yes
Africa,BSI,EN,Streptococcus pneumoniae,392000,260000,594000,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.7,0.9,2 years,"BSI, CNS infections, Cardiac infections, LRI",10 week (effective at 12 week),under 5,Yes
