WHO_region,Disease_presentation,Age_group,Pathogen,burden_mean_value,burden_lower_value,burden_upper_value,Efficacy,Coverage,Duration,DP,VC,VO,MainAnalysis,HBG,hib_vaccine_coverage_2019,hib_vaccine_coverage_2018,pcv_vaccine_coverage_2019,pcv_vaccine_coverage_2018
Africa,BSI,EN,Acinetobacter baumannii,116000,69000,186000,0.7,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,70 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,EN,Enterococcus faecium,50000,26000,85000,0.7,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,65 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,EN,Escherichia coli,116000,73000,178000,0.7,0.7,5 years,"BSI, Diarrhoea, UTI",6 weeks & elderly age group,All age groups,Yes,75 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,EN,Group A Streptococcus,6000,0,20000,0.7,0.7,5 years,All,6 weeks,6 weeks,Yes,,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,EN,Klebsiella pneumoniae,464000,274000,736000,0.7,0.7,5 years,All,0 weeks ~,All age groups,Yes,70 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,EN,Non-typhoidal Salmonella,3000,0,8000,0.8,0.7,5 years,All,6 weeks & 9 months,6 weeks & 9 months,Yes,,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,EN,Pseudomonas aeruginosa,122000,71000,198000,0.7,0.7,5 years,"BSI, LRI and thorax infections",6 weeks & elderly age group,All age groups,Yes,75 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,EN,Salmonella Typhi,175000,32000,368000,0.85,0.7,15 years,All,9 months,9 months,Yes,,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,EN,Staphylococcus aureus,107000,62000,170000,0.6,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,75 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,EN,Streptococcus pneumoniae,78000,45000,125000,0.58,0.9,5 years,"BSI, CNS infections, Cardiac infections, LRI","6, 10, 14 weeks","6, 10, 14 weeks & elderly age group",Yes,75 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,LN,Acinetobacter baumannii,45000,29000,67000,0.7,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,70 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,LN,Enterococcus faecium,19000,10000,31000,0.7,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,65 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,LN,Escherichia coli,44000,31000,64000,0.7,0.7,5 years,"BSI, Diarrhoea, UTI",6 weeks & elderly age group,All age groups,Yes,75 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,LN,Group A Streptococcus,2000,0,7000,0.7,0.7,5 years,All,6 weeks,6 weeks,Yes,,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,LN,Klebsiella pneumoniae,179000,114000,264000,0.7,0.7,5 years,All,0 weeks ~,All age groups,Yes,70 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,LN,Non-typhoidal Salmonella,1000,0,3000,0.8,0.7,5 years,All,6 weeks & 9 months,6 weeks & 9 months,Yes,,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,LN,Pseudomonas aeruginosa,47000,30000,72000,0.7,0.7,5 years,"BSI, LRI and thorax infections",6 weeks & elderly age group,All age groups,Yes,75 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,LN,Salmonella Typhi,64000,10000,128000,0.85,0.7,15 years,All,9 months,9 months,Yes,,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,LN,Staphylococcus aureus,41000,25000,61000,0.6,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,75 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,LN,Streptococcus pneumoniae,30000,18000,45000,0.58,0.9,5 years,"BSI, CNS infections, Cardiac infections, LRI","6, 10, 14 weeks","6, 10, 14 weeks & elderly age group",Yes,75 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,PN,Acinetobacter baumannii,23000,12000,40000,0.7,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,70 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,PN,Enterococcus faecium,8000,4000,15000,0.7,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,65 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,PN,Escherichia coli,22000,12000,36000,0.7,0.7,5 years,"BSI, Diarrhoea, UTI",6 weeks & elderly age group,All age groups,Yes,75 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,PN,Group A Streptococcus,3000,0,11000,0.7,0.7,5 years,All,6 weeks,6 weeks,Yes,,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,PN,Klebsiella pneumoniae,117000,61000,200000,0.7,0.7,5 years,All,0 weeks ~,All age groups,Yes,70 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,PN,Non-typhoidal Salmonella,1000,0,2000,0.8,0.7,5 years,All,6 weeks & 9 months,6 weeks & 9 months,Yes,,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,PN,Pseudomonas aeruginosa,18000,9000,30000,0.7,0.7,5 years,"BSI, LRI and thorax infections",6 weeks & elderly age group,All age groups,Yes,75 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,PN,Salmonella Typhi,43000,7000,94000,0.85,0.7,15 years,All,9 months,9 months,Yes,,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,PN,Staphylococcus aureus,15000,8000,25000,0.6,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,75 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,PN,Streptococcus pneumoniae,80712.9700764082,41970.7444397323,137212.049129894,0.58,0.9,5 years,"BSI, CNS infections, Cardiac infections, LRI","6, 10, 14 weeks","6, 10, 14 weeks & elderly age group",Yes,75 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
Africa,BSI,1 to 4,Acinetobacter baumannii,15000,7000,28000,0.7,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,70 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034
