WHO_region,Disease_presentation,Age_group,Pathogen,burden_mean_value,burden_lower_value,burden_upper_value,Efficacy,Coverage,Duration,DP,VC,VO,MainAnalysis,HBG,hib_vaccine_coverage_2019,hib_vaccine_coverage_2018,pcv_vaccine_coverage_2019,pcv_vaccine_coverage_2018,a,x,y
Africa,BSI,EN,Acinetobacter baumannii,35000,20000,55000,0.7,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,70 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,BSI,EN,Enterococcus faecium,33000,21000,51000,0.7,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,65 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,BSI,EN,Escherichia coli,30000,20000,46000,0.7,0.7,5 years,All except Diarrhoea,6 weeks & elderly age group,All age groups,Yes,75 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,BSI,EN,Group A Streptococcus,403000,263000,610000,0.7,0.7,5 years,All,6 weeks,6 weeks,Yes,,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,BSI,EN,Klebsiella pneumoniae,101000,65000,149000,0.7,0.7,5 years,All,0 weeks ~,All age groups,Yes,70 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,BSI,EN,Non-typhoidal Salmonella,836000,532000,1283000,0.8,0.7,5 years,All,6 weeks & 9 months,6 weeks & 9 months,Yes,,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.454586643328185,0.896234842054283,0.887461393139338
Africa,BSI,EN,Pseudomonas aeruginosa,344000,223000,521000,0.7,0.7,5 years,"BSI, LRI and thorax infections",6 weeks & elderly age group,All age groups,Yes,75 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,BSI,EN,Salmonella Typhi,418000,237000,667000,0.85,0.7,15 years,All,9 months,9 months,Yes,,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.426275343949878,0.890100609469241,0.877917832274212
Africa,BSI,EN,Staphylococcus aureus,149000,98000,220000,0.6,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,75 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.567831840841413,0.915173760017496,0.914268908328298
Africa,BSI,EN,Streptococcus pneumoniae,96000,64000,146000,0.58,0.9,5 years,"BSI, CNS infections, Cardiac infections, LRI","6, 10, 14 weeks","6, 10, 14 weeks & elderly age group",Yes,75 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.579156360592735,0.916694232900868,0.916263571008665
Africa,BSI,LN,Acinetobacter baumannii,13000,8000,19000,0.7,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,70 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,BSI,LN,Enterococcus faecium,13000,9000,18000,0.7,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,65 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,BSI,LN,Escherichia coli,12000,8000,15000,0.7,0.7,5 years,All except Diarrhoea,6 weeks & elderly age group,All age groups,Yes,75 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,BSI,LN,Group A Streptococcus,155000,113000,210000,0.7,0.7,5 years,All,6 weeks,6 weeks,Yes,,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,BSI,LN,Klebsiella pneumoniae,37000,26000,51000,0.7,0.7,5 years,All,0 weeks ~,All age groups,Yes,70 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,BSI,LN,Non-typhoidal Salmonella,318000,227000,436000,0.8,0.7,5 years,All,6 weeks & 9 months,6 weeks & 9 months,Yes,,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.454586643328185,0.896234842054283,0.887461393139338
Africa,BSI,LN,Pseudomonas aeruginosa,132000,94000,179000,0.7,0.7,5 years,"BSI, LRI and thorax infections",6 weeks & elderly age group,All age groups,Yes,75 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,BSI,LN,Salmonella Typhi,169000,104000,255000,0.85,0.7,15 years,All,9 months,9 months,Yes,,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.426275343949878,0.890100609469241,0.877917832274212
Africa,BSI,LN,Staphylococcus aureus,57000,41000,75000,0.6,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,75 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.567831840841413,0.915173760017496,0.914268908328298
Africa,BSI,LN,Streptococcus pneumoniae,37000,27000,50000,0.58,0.9,5 years,"BSI, CNS infections, Cardiac infections, LRI","6, 10, 14 weeks","6, 10, 14 weeks & elderly age group",Yes,75 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.579156360592735,0.916694232900868,0.916263571008665
Africa,BSI,PN,Acinetobacter baumannii,7000,3000,12000,0.7,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,70 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,BSI,PN,Enterococcus faecium,6000,3000,9000,0.7,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,65 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,BSI,PN,Escherichia coli,6000,4000,10000,0.7,0.7,5 years,All except Diarrhoea,6 weeks & elderly age group,All age groups,Yes,75 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,BSI,PN,Group A Streptococcus,207000,119000,331000,0.7,0.7,5 years,All,6 weeks,6 weeks,Yes,,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,BSI,PN,Klebsiella pneumoniae,27000,15000,42000,0.7,0.7,5 years,All,0 weeks ~,All age groups,Yes,70 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,BSI,PN,Non-typhoidal Salmonella,300000,168000,480000,0.8,0.7,5 years,All,6 weeks & 9 months,6 weeks & 9 months,Yes,,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.454586643328185,0.896234842054283,0.887461393139338
Africa,BSI,PN,Pseudomonas aeruginosa,53000,30000,85000,0.7,0.7,5 years,"BSI, LRI and thorax infections",6 weeks & elderly age group,All age groups,Yes,75 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,BSI,PN,Salmonella Typhi,105000,51000,176000,0.85,0.7,15 years,All,9 months,9 months,Yes,,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.426275343949878,0.890100609469241,0.877917832274212
Africa,BSI,PN,Staphylococcus aureus,21000,12000,33000,0.6,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,75 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.567831840841413,0.915173760017496,0.914268908328298
Africa,BSI,PN,Streptococcus pneumoniae,100075.05165219,58108.094507723,159797.259896238,0.58,0.9,5 years,"BSI, CNS infections, Cardiac infections, LRI","6, 10, 14 weeks","6, 10, 14 weeks & elderly age group",Yes,75 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.579156360592735,0.916694232900868,0.916263571008665
Africa,BSI,1 to 4,Acinetobacter baumannii,5000,2000,9000,0.7,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,70 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,BSI,1 to 4,Enterococcus faecium,3000,2000,6000,0.7,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,65 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,BSI,1 to 4,Escherichia coli,3000,2000,6000,0.7,0.7,5 years,All except Diarrhoea,6 weeks & elderly age group,All age groups,Yes,75 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,BSI,1 to 4,Group A Streptococcus,134000,67000,231000,0.7,0.7,5 years,All,6 weeks,6 weeks,Yes,,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,BSI,1 to 4,Klebsiella pneumoniae,15000,7000,27000,0.7,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,70 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,BSI,1 to 4,Non-typhoidal Salmonella,207000,103000,352000,0.8,0.7,5 years,All,6 weeks & 9 months,6 weeks & 9 months,Yes,,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.454586643328185,0.896234842054283,0.887461393139338
Africa,BSI,1 to 4,Pseudomonas aeruginosa,32000,16000,57000,0.7,0.7,5 years,"BSI, LRI and thorax infections",6 weeks & elderly age group,All age groups,Yes,75 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,BSI,1 to 4,Salmonella Typhi,68000,30000,125000,0.85,0.7,15 years,All,9 months,9 months,Yes,,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.426275343949878,0.890100609469241,0.877917832274212
Africa,BSI,1 to 4,Staphylococcus aureus,12000,6000,21000,0.6,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,75 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.567831840841413,0.915173760017496,0.914268908328298
Africa,BSI,1 to 4,Streptococcus pneumoniae,75988.8188569849,36267.3908181064,129526.395778952,0.58,0.9,5 years,"BSI, CNS infections, Cardiac infections, LRI","6, 10, 14 weeks","6, 10, 14 weeks & elderly age group",Yes,75 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.579156360592735,0.916694232900868,0.916263571008665
Africa,BSI,5 to 9,Acinetobacter baumannii,2000,1000,3000,0.7,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,70 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
Africa,BSI,5 to 9,Enterococcus faecium,1000,1000,2000,0.7,0.7,5 years,All,6 weeks & elderly age group,All age groups,Yes,65 years,0.734563443329044,0.73119476863631,0.732250145196379,0.725805938162034,0.511209242084799,0.906655252716501,0.902677436917551
